Player (ITTF ID),Position,Previous Position,Points,Month,Year
LIAO Cheng-Ting (119565),116,110,3580,Jun,2019
YOSHIDA Masaki (110411),117,106,3522,Jun,2019
FLORE Tristan (114355),118,127,3490,Jun,2019
ALLEGRO Martin (114848),119,115,3414,Jun,2019
SALEH Ahmed (100439),120,134,3411,Jun,2019
PLETEA Cristian (121042),121,116,3401,Jun,2019
LEVENKO Andreas (115449),122,111,3311,Jun,2019
ECSEKI Nandor (114716),123,119,3279,Jun,2019
LAMADRID Juan (116424),124,148,3250,Jun,2019
ANTHONY Amalraj (100001),125,122,3242,Jun,2019
HIRANO Yuki (110727),126,128,3224,Jun,2019
DESAI Harmeet (111641),127,118,3210,Jun,2019
PAK Sin Hyok (115927),128,126,3209,Jun,2019
OMOTAYO Olajide (113563),129,136,3105,Jun,2019
OLIVARES Felipe (106913),130,133,3085,Jun,2019
ASSAR Khalid (111959),131,140,3079,Jun,2019
EL-BEIALI Mohamed (102486),132,145,3014,Jun,2019
OOSTWOUDER Ewout (114063),133,123,2999,Jun,2019
GAO Ning (102943),134,104,2966,Jun,2019
IDOWU Saheed (114457),135,137,2956,Jun,2019
PRYSHCHEPA Yevhen (107570),136,144,2949,Jun,2019
ARVALHO Diogo (101514),137,168,2914,Jun,2019
ANTERO Jesus (101480),138,146,2906,Jun,2019
TANAKA Yuta (131375),139,169,2903,Jun,2019
GADIEV Vildan (112372),140,152,2875,Jun,2019
GOMEZ Gustavo (111683),141,161,2830,Jun,2019
SZUDI Adam (114717),142,156,2800,Jun,2019
KARAKASEVIC Aleksandar (104359),143,143,2776,Jun,2019
PENG Wang-Wei (119877),144,124,2774,Jun,2019
HWANG Minha (121565),145,135,2770,Jun,2019
NG Pak Nam (131983),146,147,2749,Jun,2019
LIVENTSOV Alexey (105497),147,139,2746,Jun,2019
ZHAI Yujia ^^ (123729),148,130,2740,Jun,2019
ANGLES Enzo (113676),149,175,2739,Jun,2019
MUTTI Leonardo (111216),150,155,2722,Jun,2019
KONECNY Tomas (104795),151,171,2631,Jun,2019
KIM Minhyeok (116818),152,141,2614,Jun,2019
TANVIRIYAVECHAKUL Padasak (115866),153,178,2600,Jun,2019
RUMGAY Gavin (108066),154,159,2595,Jun,2019
KANAMITSU Koyo (122388),155,166,2578,Jun,2019
ALTO Gaston (100486),156,195,2560,Jun,2019
RANEFUR Elias (114410),157,176,2551,Jun,2019
WEBER Lionel (115828),158,151,2541,Jun,2019
LAKATOS Tamas (113329),159,185,2540,Jun,2019
HACHARD Antoine (112446),160,154,2535,Jun,2019
TROMER Laurens (115392),160,162,2535,Jun,2019
PETO Zsolt (107324),162,180,2514,Jun,2019
SIPOS Rares (120224),163,157,2495,Jun,2019
SANTOS Emil (108295),164,158,2476,Jun,2019
TORIOLA Segun (109499),165,160,2455,Jun,2019
GONZALEZ Daniel (111512),166,197,2445,Jun,2019
ZHAO Zihao (134380),167,189,2434,Jun,2019
THAKKAR Manav Vikash (123682),168,129,2431,Jun,2019
KHEROUF Sami (104514),169,163,2420,Jun,2019
KENJAEV Zokhid (112261),169,187,2420,Jun,2019
MONTEIRO Joao (106296),169,201,2420,Jun,2019
ZHMUDENKO Yaroslav (110602),172,165,2419,Jun,2019
HAM Yu Song (132880),173,181,2407,Jun,2019
PEREIRA Andy (107272),174,164,2405,Jun,2019
KIM Donghyun (113336),175,120,2381,Jun,2019
REITSPIES David (114960),176,170,2333,Jun,2019
RASMUSSEN Tobias (118671),177,183,2329,Jun,2019
ROBINOT Quentin (112436),178,149,2304,Jun,2019
TREGLER Tomas (109546),179,172,2294,Jun,2019
GUNDUZ Ibrahim (120168),180,194,2273,Jun,2019
ABIODUN Bode (100079),181,177,2225,Jun,2019
GERELL Par (103037),182,150,2210,Jun,2019
ZATOWKA Patryk (114838),183,199,2199,Jun,2019
AMPOS Jorge (112121),184,179,2190,Jun,2019
ZHANG Jike (110553),185,90,2184,Jun,2019
JARVIS Tom (121684),186,196,2171,Jun,2019
JIN Takuya (117336),187,240,2162,Jun,2019
TOGAMI Shunsuke (133694),188,215,2141,Jun,2019
TORANZOS Alejandro (113450),189,192,2140,Jun,2019
HAZIN Jeremy (117604),190,239,2120,Jun,2019
HIPPLER Tobias (131169),191,212,2086,Jun,2019
SIDORENKO Vladimir (124576),192,209,2085,Jun,2019
ISMAILOV Sadi (118889),193,245,2080,Jun,2019
POWELL David (111286),194,191,2079,Jun,2019
MATSUYAMA Yuki (118886),195,229,2064,Jun,2019
NGUYEN Anh Tu (123720),196,193,2050,Jun,2019
ALKHADRAWI Ali (113376),197,206,2001,Jun,2019
WEI Shihao ^^ (119737),197,433,2001,Jun,2019
HUNG Tzu-Hsiang (112600),199,182,2000,Jun,2019
SHU Dean (117027),200,167,1991,Jun,2019
FANG Bo (111606),201,200,1959,Jun,2019
ENGEMANN Gerrit (121878),202,205,1936,Jun,2019
SEYFRIED Joe (117002),203,173,1926,Jun,2019
ABDULWAHHAB Mohammed (131156),204,188,1915,Jun,2019
BUROV Viacheslav (101400),205,260,1901,Jun,2019
YAN Xin ^ (117797),206,202,1876,Jun,2019
MEDJUGORAC Marko (116262),207,220,1870,Jun,2019
