Country,Player (ITTF ID),Position,Previous Position,Points,Month,Year
HONG KONG,HO Kwan Kit (123690),91,84,4165,Jun,2019
PUERTO RICO,AFANADOR Brian (115000),92,117,4145,Jun,2019
BELGIUM,DEVOS Robin (113317),93,98,4131,Jun,2019
PORTUGAL,GERALDO Joao (115396),94,112,4114,Jun,2019
ITALY,BOBOCICA Mihai (101192),95,96,4076,Jun,2019
ECUADOR,MINO Alberto (106151),96,97,4072,Jun,2019
BELGIUM,LAMBIET Florent (114709),97,92,4059,Jun,2019
THAILAND,WISUTMAYTHANGKOON Supanut (120947),98,93,4035,Jun,2019
HUNGARY,MAJOROS Bence (114860),99,100,3986,Jun,2019
BELARUS,PLATONOV Pavel (107456),100,103,3959,Jun,2019
CROATIA,KOJIC Frane (104760),101,107,3946,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,AN Ji Song (124005),102,109,3920,Jun,2019
SWEDEN,MOREGARD Truls (122044),103,113,3909,Jun,2019
GERMANY,STEGER Bastian (108958),104,89,3900,Jun,2019
JAPAN,UDA Yukiya (122777),105,76,3884,Jun,2019
AUSTRALIA,HU Heming (114460),106,101,3872,Jun,2019
CHINA,WANG Chuqin (121558),107,74,3867,Jun,2019
BELARUS,KHANIN Aliaksandr (114973),108,108,3771,Jun,2019
POLAND,BADOWSKI Marek (120154),109,125,3744,Jun,2019
ROMANIA,SZOCS Hunor (109140),110,105,3734,Jun,2019
FRANCE,LANDRIEU Andrea (114856),111,174,3724,Jun,2019
SWEDEN,KALLBERG Anton (116853),112,132,3660,Jun,2019
FRANCE,ROBINOT Alexandre (113689),113,99,3609,Jun,2019
HONG KONG,LAM Siu Hang (115546),114,121,3604,Jun,2019
BRAZIL,ISHIY Vitor (117312),115,131,3595,Jun,2019
CHINESE TAIPEI,LIAO Cheng-Ting (119565),116,110,3580,Jun,2019
JAPAN,YOSHIDA Masaki (110411),117,106,3522,Jun,2019
FRANCE,FLORE Tristan (114355),118,127,3490,Jun,2019
BELGIUM,ALLEGRO Martin (114848),119,115,3414,Jun,2019
EGYPT,SALEH Ahmed (100439),120,134,3411,Jun,2019
ROMANIA,PLETEA Cristian (121042),121,116,3401,Jun,2019
AUSTRIA,LEVENKO Andreas (115449),122,111,3311,Jun,2019
HUNGARY,ECSEKI Nandor (114716),123,119,3279,Jun,2019
CHILE,LAMADRID Juan (116424),124,148,3250,Jun,2019
INDIA,ANTHONY Amalraj (100001),125,122,3242,Jun,2019
JAPAN,HIRANO Yuki (110727),126,128,3224,Jun,2019
INDIA,DESAI Harmeet (111641),127,118,3210,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,PAK Sin Hyok (115927),128,126,3209,Jun,2019
NIGERIA,OMOTAYO Olajide (113563),129,136,3105,Jun,2019
CHILE,OLIVARES Felipe (106913),130,133,3085,Jun,2019
EGYPT,ASSAR Khalid (111959),131,140,3079,Jun,2019
EGYPT,EL-BEIALI Mohamed (102486),132,145,3014,Jun,2019
NETHERLANDS,OOSTWOUDER Ewout (114063),133,123,2999,Jun,2019
SINGAPORE,GAO Ning (102943),134,104,2966,Jun,2019
CONGO BRAZZAVILLE,IDOWU Saheed (114457),135,137,2956,Jun,2019
UKRAINE,PRYSHCHEPA Yevhen (107570),136,144,2949,Jun,2019
PORTUGAL,ARVALHO Diogo (101514),137,168,2914,Jun,2019
SPAIN,ANTERO Jesus (101480),138,146,2906,Jun,2019
JAPAN,TANAKA Yuta (131375),139,169,2903,Jun,2019
RUSSIA,GADIEV Vildan (112372),140,152,2875,Jun,2019
CHILE,GOMEZ Gustavo (111683),141,161,2830,Jun,2019
HUNGARY,SZUDI Adam (114717),142,156,2800,Jun,2019
SERBIA,KARAKASEVIC Aleksandar (104359),143,143,2776,Jun,2019
CHINESE TAIPEI,PENG Wang-Wei (119877),144,124,2774,Jun,2019
REPUBLIC OF KOREA,HWANG Minha (121565),145,135,2770,Jun,2019
HONG KONG,NG Pak Nam (131983),146,147,2749,Jun,2019
RUSSIA,LIVENTSOV Alexey (105497),147,139,2746,Jun,2019
DENMARK,ZHAI Yujia ^^ (123729),148,130,2740,Jun,2019
FRANCE,ANGLES Enzo (113676),149,175,2739,Jun,2019
ITALY,MUTTI Leonardo (111216),150,155,2722,Jun,2019
CZECH REPUBLIC,KONECNY Tomas (104795),151,171,2631,Jun,2019
REPUBLIC OF KOREA,KIM Minhyeok (116818),152,141,2614,Jun,2019
THAILAND,TANVIRIYAVECHAKUL Padasak (115866),153,178,2600,Jun,2019
SCOTLAND,RUMGAY Gavin (108066),154,159,2595,Jun,2019
JAPAN,KANAMITSU Koyo (122388),155,166,2578,Jun,2019
ARGENTINA,ALTO Gaston (100486),156,195,2560,Jun,2019
SWEDEN,RANEFUR Elias (114410),157,176,2551,Jun,2019
SWITZERLAND,WEBER Lionel (115828),158,151,2541,Jun,2019
HUNGARY,LAKATOS Tamas (113329),159,185,2540,Jun,2019
FRANCE,HACHARD Antoine (112446),160,154,2535,Jun,2019
NETHERLANDS,TROMER Laurens (115392),160,162,2535,Jun,2019
SERBIA,PETO Zsolt (107324),162,180,2514,Jun,2019
ROMANIA,SIPOS Rares (120224),163,157,2495,Jun,2019
DOMINICAN REPUBLIC,SANTOS Emil (108295),164,158,2476,Jun,2019
NIGERIA,TORIOLA Segun (109499),165,160,2455,Jun,2019
PUERTO RICO,GONZALEZ Daniel (111512),166,197,2445,Jun,2019
CHINA,ZHAO Zihao (134380),167,189,2434,Jun,2019
INDIA,THAKKAR Manav Vikash (123682),168,129,2431,Jun,2019
ALGERIA,KHEROUF Sami (104514),169,163,2420,Jun,2019
UZBEKISTAN,KENJAEV Zokhid (112261),169,187,2420,Jun,2019
PORTUGAL,MONTEIRO Joao (106296),169,201,2420,Jun,2019
UKRAINE,ZHMUDENKO Yaroslav (110602),172,165,2419,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,HAM Yu Song (132880),173,181,2407,Jun,2019
CUBA,PEREIRA Andy (107272),174,164,2405,Jun,2019
REPUBLIC OF KOREA,KIM Donghyun (113336),175,120,2381,Jun,2019
CZECH REPUBLIC,REITSPIES David (114960),176,170,2333,Jun,2019
DENMARK,RASMUSSEN Tobias (118671),177,183,2329,Jun,2019
FRANCE,ROBINOT Quentin (112436),178,149,2304,Jun,2019
CZECH REPUBLIC,TREGLER Tomas (109546),179,172,2294,Jun,2019
TURKEY,GUNDUZ Ibrahim (120168),180,194,2273,Jun,2019
NIGERIA,ABIODUN Bode (100079),181,177,2225,Jun,2019
SWEDEN,GERELL Par (103037),182,150,2210,Jun,2019
POLAND,ZATOWKA Patryk (114838),183,199,2199,Jun,2019
CUBA,AMPOS Jorge (112121),184,179,2190,Jun,2019
CHINA,ZHANG Jike (110553),185,90,2184,Jun,2019
ENGLAND,JARVIS Tom (121684),186,196,2171,Jun,2019
JAPAN,JIN Takuya (117336),187,240,2162,Jun,2019
JAPAN,TOGAMI Shunsuke (133694),188,215,2141,Jun,2019
PARAGUAY,TORANZOS Alejandro (113450),189,192,2140,Jun,2019
CANADA,HAZIN Jeremy (117604),190,239,2120,Jun,2019
GERMANY,HIPPLER Tobias (131169),191,212,2086,Jun,2019
RUSSIA,SIDORENKO Vladimir (124576),192,209,2085,Jun,2019
RUSSIA,ISMAILOV Sadi (118889),193,245,2080,Jun,2019
AUSTRALIA,POWELL David (111286),194,191,2079,Jun,2019
JAPAN,MATSUYAMA Yuki (118886),195,229,2064,Jun,2019
VIETNAM,NGUYEN Anh Tu (123720),196,193,2050,Jun,2019
SAUDI ARABIA,ALKHADRAWI Ali (113376),197,206,2001,Jun,2019
CROATIA,WEI Shihao ^^ (119737),197,433,2001,Jun,2019
CHINESE TAIPEI,HUNG Tzu-Hsiang (112600),199,182,2000,Jun,2019
NEW ZEALAND,SHU Dean (117027),200,167,1991,Jun,2019
CHINA,FANG Bo (111606),201,200,1959,Jun,2019
GERMANY,ENGEMANN Gerrit (121878),202,205,1936,Jun,2019
FRANCE,SEYFRIED Joe (117002),203,173,1926,Jun,2019
QATAR,ABDULWAHHAB Mohammed (131156),204,188,1915,Jun,2019
RUSSIA,BUROV Viacheslav (101400),205,260,1901,Jun,2019
AUSTRALIA,YAN Xin ^ (117797),206,202,1876,Jun,2019
CANADA,MEDJUGORAC Marko (116262),207,220,1870,Jun,2019
TOGO,AGBETOGLO Mawussi (100154),208,204,1855,Jun,2019
GERMANY,ORT Kilian (116530),209,259,1825,Jun,2019
AUSTRALIA,TOWNSEND Kane (111287),210,207,1823,Jun,2019
SLOVAKIA,VALUCH Alexander (115100),211,210,1786,Jun,2019
UNITED STATES OF AMERICA,TIO Nicholas (122940),212,222,1770,Jun,2019
UNITED STATES OF AMERICA,KUMAR Nikhil (119463),213,211,1750,Jun,2019
IRAN,LOTFIJANABADI Miad (119927),214,224,1741,Jun,2019
JAPAN,SAMBE Kohei (120313),215,184,1737,Jun,2019
LUXEMBOURG,GLOD Eric (117862),216,248,1735,Jun,2019
DOMINICAN REPUBLIC,GALVEZ Samuel (111514),217,213,1726,Jun,2019
CHINA,ZHOU Kai (117345),218,138,1724,Jun,2019
LUXEMBOURG,MLADENOVIC Luka (120074),219,214,1721,Jun,2019
GERMANY,MENGEL Steffen (106050),220,255,1715,Jun,2019
LITHUANIA,MIKUTIS Tomas (113926),221,216,1713,Jun,2019
MEXICO,VILLA Ricardo (118009),222,198,1700,Jun,2019
ARGENTINA,GALVANO Nicolas (116321),223,218,1660,Jun,2019
SPAIN,MACHADO Carlos (105666),224,238,1640,Jun,2019
GERMANY,KLEIN Dennis (120066),225,258,1636,Jun,2019
SWEDEN,ARVIDSSON Simon (110888),226,208,1635,Jun,2019
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,HOE Il (115928),227,219,1625,Jun,2019
CHINESE TAIPEI,YANG Heng-Wei (119566),228,186,1615,Jun,2019
SOUTH AFRICA,LINGEVELDT Kurt (111960),229,225,1590,Jun,2019
GUATEMALA,GATICA Hector (102983),229,226,1590,Jun,2019
SLOVAKIA,NOVOTA Samuel (115019),231,288,1585,Jun,2019
CANADA,WANG Eugene ^ (114247),232,227,1580,Jun,2019
BULGARIA,GOLOVANOV Stanislav (103159),233,230,1563,Jun,2019
GREECE,SGOUROPOULOS Ioannis (121693),234,256,1551,Jun,2019
CHINA,MA Te (117805),235,190,1545,Jun,2019
RUSSIA,PAIKOV Mikhail (107071),236,244,1531,Jun,2019
DENMARK,MAZE Michael (105966),237,234,1521,Jun,2019
TOGO,FANNY Kokou Dodji (118722),238,235,1515,Jun,2019
FRANCE,BROSSIER Benjamin (112445),239,276,1501,Jun,2019
MALAYSIA,HAIQAL Muhamad Ashraf (115874),240,203,1485,Jun,2019
NETHERLANDS,GOMMERS Rajko (114868),241,237,1481,Jun,2019
BELGIUM,NUDDE Florian (123023),241,284,1481,Jun,2019
MEXICO,ARCE Dario (121278),243,241,1465,Jun,2019
AUSTRIA,SERDAROGLU David (120300),244,221,1460,Jun,2019
SWEDEN,LUNDQVIST Jens (105609),245,243,1440,Jun,2019
INDIA,SHETTY Sanil (108574),246,231,1439,Jun,2019
KAZAKHSTAN,ZHOLUDEV Denis (117894),247,269,1428,Jun,2019
CUBA,MARTINEZ Livan (121440),248,246,1425,Jun,2019
NEW ZEALAND,BALL Matthew (100877),249,232,1421,Jun,2019
SOUTH AFRICA,OVERMEYER Shane (107025),250,247,1420,Jun,2019
NEW ZEALAND,XU Nathan (131134),251,641,1415,Jun,2019
GUATEMALA,GUTIERREZ Allan (103329),252,217,1410,Jun,2019
CHINA,ZHANG Yudong (119813),252,249,1410,Jun,2019
CHINA,LIU Yebo (121591),254,251,1391,Jun,2019
MALAYSIA,LEONG Chee Feng (121474),255,228,1390,Jun,2019
ALGERIA,BOURIAH Larbi (114202),255,252,1390,Jun,2019
CZECH REPUBLIC,POLANSKY Tomas (116798),257,305,1375,Jun,2019
AUSTRALIA,DHOORIA Rohan (119944),257,985,1375,Jun,2019
NEW ZEALAND,IRANI Dinyar (120693),259,253,1368,Jun,2019
TUNISIA,MAMIA Thameur (111971),260,254,1365,Jun,2019
CHINESE TAIPEI,WANG Tai-Wei (121492),260,272,1365,Jun,2019
REPUBLIC OF KOREA,BAEK Hogyun (133717),262,223,1360,Jun,2019
VENEZUELA,ORREA Cecilio (111696),262,285,1360,Jun,2019
INDIA,DANI Mudit (116758),264,351,1346,Jun,2019
GHANA,ABREFA Derek (112642),265,257,1336,Jun,2019
PORTUGAL,HEN Diogo (114356),266,319,1326,Jun,2019
WALES,EVANS Callum (122122),267,286,1311,Jun,2019
HONG KONG,SU Zhi (121594),268,153,1310,Jun,2019
